=== 调试日志 - 2026-05-29 09:59:05 ===
[2026-05-29 10:03:14] === 广告系列详情（共765个）===
[2026-05-29 10:03:14]   [158] Ogery_US_9524_15895_20260528105343666 | ASIN=B0F3D214Z7 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [159] Ogery_US_10038_15948_20260528105637970 | ASIN=B0GVMKWFP8 | 国家=US | 状态=ENABLED | 花费=$0.58
[2026-05-29 10:03:14]   [160] Ogery_US_9531_15749_20260528105340480 | ASIN=B0GVM5YF3C | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [161] Ogery_US_10036_16156_20260528105926171 | ASIN=B0GCFKKY2Q | 国家=US | 状态=ENABLED | 花费=$0.27
[2026-05-29 10:03:14]   [162] Ogery_US_9521_15769_20260528105347167 | ASIN=B0GCF8HWWM | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [163] Dreame_US_8618_13865_20260523184524883 | ASIN=B0GTM1CG6X | 国家=US | 状态=ENABLED | 花费=$172.53
[2026-05-29 10:03:14]   [164] Dreame_US_8632_13864_20260523184625646 | ASIN=B0GQF8SKY8 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [165] Dreame_US_8633_13857_20260523184642430 | ASIN=B0GJL4Q376 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [166] Dreame_US_8617_13856_20260523184500029 | ASIN=B0GTTMZTD7 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [167] Dreame_US_8620_13861_20260523184609792 | ASIN=B0FCFM9T1G | 国家=US | 状态=ENABLED | 花费=$1.80
[2026-05-29 10:03:14]   [168] Dreame_US_8697_13683_20260526104130828 | ASIN=B0F32THV6T | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [169] Dreame_US_9135_14456_20260526104327085 | ASIN=B0GR8TQHV9 | 国家=US | 状态=ENABLED | 花费=$4.19
[2026-05-29 10:03:14]   [170] Dreame_US_8619_13862_20260523182210711 | ASIN=B0GJM6D1MV | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [171] Dreame_US_8700_13611_20260526104216301 | ASIN=B0GHXHXPBQ | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [172] Dreame_US_9134_14428_20260526104310272 | ASIN=B0GJL4Q376 | 国家=US | 状态=ENABLED | 花费=$0.00
